101,101
0,1.44829,2.89716,4.34721,5.79903,7.25319,8.71031,10.171,11.6358,13.1053,14.5803,16.0612,17.5487,19.0435,20.5461,22.0573,23.5777,25.108,26.6488,28.2009,29.765,31.3417,32.9319,34.5362,36.1555,37.7904,39.4419,41.1107,42.7976,44.5035,46.2291,47.9754,49.7433,51.5335,53.3469,55.1844,57.0469,58.9352,60.8501,62.7924,64.7628,66.7619,68.7905,70.849,72.9378,75.0572,77.2073,79.388,81.599,83.8398,86.1097,88.4074,90.7316,93.0806,95.4523,97.8441,100.253,102.677,105.112,107.554,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,
0,1.448,2.89658,4.34633,5.79785,7.25172,8.70854,10.1689,11.6334,13.1027,14.5773,16.0579,17.5451,19.0395,20.5419,22.0527,23.5728,25.1027,26.6432,28.1949,29.7586,31.335,32.9248,34.5287,36.1476,37.7822,39.4333,41.1016,42.7881,44.4936,46.2188,47.9647,49.7321,51.5218,53.3349,55.172,57.034,58.9219,60.8364,62.7783,64.7484,66.7472,68.7756,70.8339,72.9225,75.0419,77.192,79.3728,81.5841,83.8253,86.0957,88.3942,90.7193,93.0693,95.4421,97.8354,100.246,102.672,105.108,107.552,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,
0,1.44712,2.89482,4.34369,5.79432,7.2473,8.70322,10.1627,11.6263,13.0946,14.5683,16.048,17.5342,19.0277,20.5291,22.0389,23.558,25.0869,26.6263,28.177,29.7396,31.3149,32.9036,34.5064,36.1241,37.7574,39.4073,41.0745,42.7597,44.4639,46.1878,47.9324,49.6985,51.487,53.2987,55.1345,56.9953,58.882,60.7953,62.7361,64.7051,66.7031,68.7306,70.7883,72.8766,74.9957,77.146,79.3272,81.5393,83.7817,86.0537,88.3542,90.682,93.0351,95.4117,97.8091,100.225,102.655,105.097,107.546,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,
0,1.44565,2.89189,4.33929,5.78845,7.23995,8.69437,10.1523,11.6144,13.0812,14.5534,16.0315,17.5161,19.008,20.5077,22.016,23.5333,25.0605,26.5982,28.1471,29.7079,31.2814,32.8682,34.4691,36.0848,37.7162,39.3641,41.0292,42.7123,44.4144,46.1362,47.8787,49.6426,51.4289,53.2384,55.0721,56.9308,58.8154,60.7268,62.6657,64.633,66.6294,68.6556,70.7122,72.7997,74.9186,77.0689,79.2508,81.4641,83.7085,85.9831,88.2872,90.6192,92.9776,95.3603,97.7647,100.188,102.627,105.078,107.537,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,
0,1.4436,2.88779,4.33314,5.78023,7.22966,8.682,10.1379,11.5978,13.0625,14.5325,16.0084,17.4908,18.9805,20.4779,21.9838,23.4989,25.0237,26.5589,28.1054,29.6637,31.2345,32.8187,34.4169,36.03,37.6586,39.3036,40.9658,42.6461,44.3452,46.064,47.8034,49.5643,51.3475,53.154,54.9847,56.8404,58.7221,60.6306,62.5669,64.5317,66.5259,68.5502,70.6052,72.6916,74.8099,76.9603,79.143,81.3579,83.6049,85.8832,88.1921,90.5302,92.8959,95.2871,97.7014,100.136,102.587,105.05,107.523,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,
0,1.44098,2.88253,4.32524,5.76969,7.21645,8.66612,10.1193,11.5765,13.0384,14.5057,15.9788,17.4584,18.9451,20.4397,21.9426,23.4546,24.9764,26.5085,28.0517,29.6068,31.1743,32.7552,34.3499,35.9595,37.5846,39.226,40.8845,42.561,44.2563,45.9712,47.7067,49.4637,51.2429,53.0455,54.8722,56.724,58.6019,60.5068,62.4395,64.4011,66.3923,68.4139,70.4668,72.5517,74.669,76.8193,79.0029,81.2198,83.4699,85.7528,88.0677,90.4135,92.7886,95.191,97.6181,100.067,102.534,105.014,107.505,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,
0,1.43777,2.87611,4.31561,5.75682,7.20034,8.64674,10.0966,11.5505,13.0091,14.4729,15.9426,17.4188,18.902,20.393,21.8923,23.4006,24.9186,26.447,27.9863,29.5374,31.1009,32.6776,34.2682,35.8735,37.4942,39.1312,40.7852,42.4571,44.1477,45.8579,47.5886,49.3407,51.1151,52.9127,54.7346,56.5816,58.4548,60.355,62.2834,64.2408,66.2282,68.2465,70.2965,72.3792,74.4952,76.6451,78.8294,81.0484,83.3021,85.5903,87.9125,90.2675,92.6541,95.0702,97.5132,99.9799,102.467,104.969,107.482,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,
0,1.43399,2.86855,4.30425,5.74166,7.18135,8.6239,10.0699,11.5199,12.9745,14.4344,15.9,17.3721,18.8512,20.3379,21.833,23.337,24.8506,26.3744,27.9092,29.4556,31.0144,32.5862,34.1719,35.7721,37.3876,39.0193,40.668,42.3344,44.0195,45.7241,47.4491,49.1954,50.964,52.7558,54.5718,56.4131,58.2805,60.1752,62.0982,64.0505,66.0332,68.0472,70.0937,72.1735,74.2875,76.4365,78.6213,80.8423,83.0998,85.3939,87.7243,90.0901,92.4901,94.9224,97.3845,99.8731,102.384,104.913,107.453,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,
0,1.42964,2.85985,4.29118,5.72421,7.1595,8.59762,10.0392,11.4847,12.9348,14.39,15.851,17.3184,18.7927,20.2746,21.7647,23.2637,24.7722,26.2909,27.8204,29.3614,30.9147,32.481,34.0609,35.6553,37.2649,38.8905,40.533,42.1931,43.8718,45.5699,47.2882,49.0278,50.7897,52.5747,54.3839,56.2183,58.079,59.9671,61.8837,63.8299,65.8068,67.8156,69.8575,71.9335,74.0447,76.1922,78.377,80.5997,82.861,85.1613,87.5006,89.8784,92.2937,94.7449,97.2294,99.7438,102.284,104.844,107.418,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,
0,1.42473,2.85001,4.27642,5.7045,7.13482,8.56794,10.0044,11.4449,12.8898,14.3399,15.7956,17.2577,18.7266,20.2031,21.6876,23.181,24.6837,26.1965,27.7201,29.255,30.8021,32.362,33.9355,35.5233,37.1262,38.7449,40.3804,42.0333,43.7047,45.3953,47.1061,48.8381,50.5922,52.3693,54.1707,55.9972,57.8501,59.7305,61.6396,63.5785,65.5485,67.5509,69.5871,71.6582,73.7657,75.9107,78.0946,80.3185,82.5833,84.8898,87.2384,89.6292,92.0615,94.534,97.0443,99.589,102.163,104.762,107.377,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,
